[ 2016-10-05T14:40:13+08:00 ] /wd/index.php/List/index/filter/1 | NOTIC: [2] Division by zero 566aec5337abdc745e4e75fa5926da74.php 第 217 行.
[ 2016-10-05T14:40:13+08:00 ] /wd/index.php/List/index/filter/1 | INFO: Run ParseTemplate Behavior [ RunTime:0.034002s ]
[ 2016-10-05T14:40:13+08:00 ] /wd/index.php/List/index/filter/1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.034002s ]
[ 2016-10-05T14:40:13+08:00 ] /wd/index.php/List/index/filter/1 | INFO: Tag[ view_filter ] --START--
[ 2016-10-05T14:40:13+08:00 ] /wd/index.php/List/index/filter/1 | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-10-05T14:40:13+08:00 ] /wd/index.php/List/index/filter/1 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:13+08:00 ] /wd/index.php/List/index/filter/1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001001s ]
[ 2016-10-05T14:40:13+08:00 ] /wd/index.php/List/index/filter/1 | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-10-05T14:40:13+08:00 ] /wd/index.php/List/index/filter/1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002001s ]
[ 2016-10-05T14:40:13+08:00 ] /wd/index.php/List/index/filter/1 | INFO: Tag[ view_end ] --START--
[ 2016-10-05T14:40:13+08:00 ] /wd/index.php/List/index/filter/1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:13+08:00 ] /wd/index.php/List/index/filter/1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-10-05T14:40:15+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ route_check ] --START--
[ 2016-10-05T14:40:15+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:15+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-10-05T14:40:15+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ app_begin ] --START--
[ 2016-10-05T14:40:15+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-10-05T14:40:15+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.012001s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = null )  [ RunTime:0.001000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 17 行.
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SELECT `pid` FROM `hd_category` WHERE ( `id` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = null )  [ RunTime:0.001000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SHOW COLUMNS FROM `hd_ask` [ RunTime:0.013001s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SELECT COUNT(id) AS tp_count FROM `hd_ask` WHERE ( `cid` IN ('31','25','44') ) AND ( `answer` = 0 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SELECT ask.id AS id,ask.content AS content,ask.time AS time,ask.answer AS answer,ask.reward AS reward,category.name AS name FROM hd_ask ask LEFT JOIN hd_category category ON ask.cid = category.id WHERE ( `cid` IN ('31','25','44') ) AND ( ask.answer = 0 ) ORDER BY ask.time DESC LIMIT 0,15   [ RunTime:0.001000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ view_template ] --START--
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ view_parse ] --START--
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 17 and defined TagLib.class.php 第 111 行.
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 34 and defined TagLib.class.php 第 111 行.
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 53 and defined TagLib.class.php 第 111 行.
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Use of undefined constant filter - assumed 'filter' 566aec5337abdc745e4e75fa5926da74.php 第 178 行.
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Use of undefined constant filter - assumed 'filter' 566aec5337abdc745e4e75fa5926da74.php 第 181 行.
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Use of undefined constant filter - assumed 'filter' 566aec5337abdc745e4e75fa5926da74.php 第 184 行.
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.012001s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SELECT `id`,`username`,`face`,`answer`,`adopt`,`ask`,`point`,`exp` FROM `hd_user` WHERE ( `id` = '6' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [2] Division by zero 566aec5337abdc745e4e75fa5926da74.php 第 217 行.
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run ParseTemplate Behavior [ RunTime:0.034002s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.034002s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ view_filter ] --START--
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ view_end ] --START--
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:16+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-10-05T14:40:24+08:00 ] /wd/index.php/List/index | INFO: Tag[ route_check ] --START--
[ 2016-10-05T14:40:24+08:00 ] /wd/index.php/List/index | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:24+08:00 ] /wd/index.php/List/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-10-05T14:40:24+08:00 ] /wd/index.php/List/index | INFO: Tag[ app_begin ] --START--
[ 2016-10-05T14:40:24+08:00 ] /wd/index.php/List/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:24+08:00 ] /wd/index.php/List/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.018001s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = null )  [ RunTime:0.000000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 17 行.
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | SQL: SELECT `pid` FROM `hd_category` WHERE ( `id` = null ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = null )  [ RunTime:0.000000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | SQL: SHOW COLUMNS FROM `hd_ask` [ RunTime:0.012001s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | SQL: SELECT COUNT(id) AS tp_count FROM `hd_ask` WHERE ( `cid` IN ('31','25','44') ) AND ( `solve` = 0 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | SQL: SELECT ask.id AS id,ask.content AS content,ask.time AS time,ask.answer AS answer,ask.reward AS reward,category.name AS name FROM hd_ask ask LEFT JOIN hd_category category ON ask.cid = category.id WHERE ( `cid` IN ('31','25','44') ) AND ( `solve` = 0 ) ORDER BY ask.time DESC LIMIT 0,15   [ RunTime:0.000000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | INFO: Tag[ view_template ] --START--
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | INFO: Tag[ view_parse ] --START--
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 17 and defined TagLib.class.php 第 111 行.
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 34 and defined TagLib.class.php 第 111 行.
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 53 and defined TagLib.class.php 第 111 行.
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | NOTIC: [8] Use of undefined constant filter - assumed 'filter' 566aec5337abdc745e4e75fa5926da74.php 第 178 行.
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | NOTIC: [8] Use of undefined constant filter - assumed 'filter' 566aec5337abdc745e4e75fa5926da74.php 第 181 行.
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | NOTIC: [8] Use of undefined constant filter - assumed 'filter' 566aec5337abdc745e4e75fa5926da74.php 第 184 行.
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.013001s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | SQL: SELECT `id`,`username`,`face`,`answer`,`adopt`,`ask`,`point`,`exp` FROM `hd_user` WHERE ( `id` = '6' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | NOTIC: [2] Division by zero 566aec5337abdc745e4e75fa5926da74.php 第 217 行.
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | INFO: Run ParseTemplate Behavior [ RunTime:0.035002s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.035002s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | INFO: Tag[ view_filter ] --START--
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | INFO: Tag[ view_end ] --START--
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-10-05T14:40:25+08:00 ] /wd/index.php/List/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-10-05T14:40:33+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ route_check ] --START--
[ 2016-10-05T14:40:33+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:33+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-10-05T14:40:33+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ app_begin ] --START--
[ 2016-10-05T14:40:33+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:33+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.022002s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = null )  [ RunTime:0.001000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 17 行.
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SELECT `pid` FROM `hd_category` WHERE ( `id` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = null )  [ RunTime:0.000000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SHOW COLUMNS FROM `hd_ask` [ RunTime:0.013001s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SELECT COUNT(id) AS tp_count FROM `hd_ask` WHERE ( `cid` IN ('31','25','44') ) AND ( `answer` = 0 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SELECT ask.id AS id,ask.content AS content,ask.time AS time,ask.answer AS answer,ask.reward AS reward,category.name AS name FROM hd_ask ask LEFT JOIN hd_category category ON ask.cid = category.id WHERE ( `cid` IN ('31','25','44') ) AND ( ask.answer = 0 ) ORDER BY ask.time DESC LIMIT 0,15   [ RunTime:0.000000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ view_template ] --START--
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ view_parse ] --START--
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 17 and defined TagLib.class.php 第 111 行.
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 34 and defined TagLib.class.php 第 111 行.
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 53 and defined TagLib.class.php 第 111 行.
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Use of undefined constant filter - assumed 'filter' 566aec5337abdc745e4e75fa5926da74.php 第 178 行.
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Use of undefined constant filter - assumed 'filter' 566aec5337abdc745e4e75fa5926da74.php 第 181 行.
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [8] Use of undefined constant filter - assumed 'filter' 566aec5337abdc745e4e75fa5926da74.php 第 184 行.
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.013001s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | SQL: SELECT `id`,`username`,`face`,`answer`,`adopt`,`ask`,`point`,`exp` FROM `hd_user` WHERE ( `id` = '6' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | NOTIC: [2] Division by zero 566aec5337abdc745e4e75fa5926da74.php 第 217 行.
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run ParseTemplate Behavior [ RunTime:0.035002s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.035002s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ view_filter ] --START--
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ view_end ] --START--
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:40:34+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-10-05T14:40:36+08:00 ] /wd/index.php/List/index/filter/3 | INFO: Tag[ route_check ] --START--
