[ 2016-09-15T10:53:38+08:00 ] /wd/ | INFO: Tag[ app_begin ] --START--
[ 2016-09-15T10:53:38+08:00 ] /wd/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006001s ]
[ 2016-09-15T10:53:38+08:00 ] /wd/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006001s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.024001s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '31' )  [ RunTime:0.001000s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '25' )  [ RunTime:0.002001s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '44' )  [ RunTime:0.001000s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | INFO: Tag[ view_template ] --START--
[ 2016-09-15T10:53:39+08:00 ] /wd/ | INFO: Run LocationTemplate Behavior [ RunTime:0.004000s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.005000s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | INFO: Tag[ view_parse ] --START--
[ 2016-09-15T10:53:39+08:00 ] /wd/ | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 15 and defined TagLib.class.php 第 111 行.
[ 2016-09-15T10:53:39+08:00 ] /wd/ | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2016-09-15T10:53:39+08:00 ] /wd/ | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2016-09-15T10:53:39+08:00 ] /wd/ | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2016-09-15T10:53:39+08:00 ] /wd/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.002001s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | INFO: Run ParseTemplate Behavior [ RunTime:0.058004s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.059004s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | INFO: Tag[ view_filter ] --START--
[ 2016-09-15T10:53:39+08:00 ] /wd/ | INFO: Run ContentReplace Behavior [ RunTime:0.003000s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | INFO: Run ShowRuntime Behavior [ RunTime:0.004000s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011000s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | INFO: Tag[ view_end ] --START--
[ 2016-09-15T10:53:39+08:00 ] /wd/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.005001s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.005001s ]
[ 2016-09-15T10:53:39+08:00 ] /wd/index.php/Common/verify | ERR: (ThinkException) 无法加载模块Common
[ 2016-09-15T10:53:39+08:00 ] /wd/index.php/Common/verify | ERR: (ThinkException) 无法加载模块Common
[ 2016-09-15T10:54:32+08:00 ] /wd/ | INFO: Tag[ app_begin ] --START--
[ 2016-09-15T10:54:32+08:00 ] /wd/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-09-15T10:54:32+08:00 ] /wd/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-09-15T10:54:32+08:00 ] /wd/ | INFO: Tag[ view_template ] --START--
[ 2016-09-15T10:54:32+08:00 ] /wd/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-09-15T10:54:32+08:00 ] /wd/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-09-15T10:54:32+08:00 ] /wd/ | INFO: Tag[ view_parse ] --START--
[ 2016-09-15T10:54:32+08:00 ] /wd/ | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 15 and defined TagLib.class.php 第 111 行.
[ 2016-09-15T10:54:32+08:00 ] /wd/ | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2016-09-15T10:54:32+08:00 ] /wd/ | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2016-09-15T10:54:34+08:00 ] /wd/ | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.007001s ]
[ 2016-09-15T10:54:34+08:00 ] /wd/ | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2016-09-15T10:54:34+08:00 ] /wd/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
